table_id,state_code,state_name,category,type,description,unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
coal-nv-74,NV,Nevada,production,Coal,Coal production,Billion Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coal-ny-80,NY,New York,production,Coal,Coal production,Billion Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coal-oh-63,OH,Ohio,production,Coal,Coal production,Billion Btu,796648,756037,800589,863111,875311,924108,1016801,1079511,1133681,1202162,1298561,1206596,1195710,1031681,996981,1019414,1026692,1057730,917578,973964,881261,849991,842998,790471,915355,831074,855432,840104,798665,787935,826283,720901,720512,686182,711787,620991,675076,689466,659398,531258,528236,598946,507902,539441,568593,606427,557935,555706,638424,670150,644947,679187,642149,612270,541830,417682,309088,233560,219942,192413,88255
coal-ok-57,OK,Oklahoma,production,Coal,Coal production,Billion Btu,33923,26087,26491,25480,25986,24621,21309,20804,27528,46461,61350,56471,66330,51616,56268,68621,87876,143470,144227,118380,127957,133637,113695,88475,112485,81736,77035,72537,53994,43169,42166,47806,43468,42011,50755,48455,44444,40639,42071,42170,40688,42810,33899,37411,41850,39664,43052,34845,29851,18277,17580,19094,22004,25054,20607,17422,14440,12590,15121,5153,16
coal-or-93,OR,Oregon,production,Coal,Coal production,Billion Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coal-pa-103,PA,Pennsylvania,production,Coal,Coal production,Billion Btu,2169831,2060353,2112248,2308097,2413787,2453589,2432385,2361801,2257714,2303517,2357967,2127367,2164590,2096942,2150183,2246057,2321250,2270585,2172466,2390769,2370499,2138782,2029338,1785151,1983208,1832983,1842452,1807237,1825287,1822907,1831440,1701624,1812815,1553125,1621471,1602243,1766791,1982914,2133532,1994709,1946487,1929615,1734216,1599175,1600275,1607811,1583197,1557006,1591997,1439895,1485775,1511491,1390644,1379262,1566449,1278078,1168609,1260516,1278056,1250902,908798
coal-ri-71,RI,Rhode Island,production,Coal,Coal production,Billion Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coal-sc-54,SC,South Carolina,production,Coal,Coal production,Billion Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coal-sd-92,SD,South Dakota,production,Coal,Coal production,Billion Btu,262,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coal-tn-104,TN,Tennessee,production,Coal,Coal production,Billion Btu,148915,147157,156047,153712,150422,147283,158433,171566,204614,202957,206849,232815,282763,197037,174792,189767,221457,221425,236698,209549,239030,258106,183943,165983,183261,185152,171635,160942,163480,162633,156330,108022,88068,77469,76207,82105,91365,82707,67036,75919,68027,84824,81658,65617,73354,82083,71957,67714,59086,50347,45030,38576,28372,28376,21711,23192,16596,11168,5922,11341,2377
coal-tx-94,TX,Texas,production,Coal,Coal production,Billion Btu,26409,26535,25855,27441,28839,30349,28360,27102,28839,28310,29078,28360,50918,97216,107576,144160,182651,209460,265268,356524,385041,418838,448801,493048,515269,574734,615490,640051,658102,675280,706720,674067,685491,682967,660044,664511,709509,687914,677016,671989,632360,578696,581168,594734,572489,595612,593496,554720,515493,455507,538258,605290,578697,564850,576803,471257,515707,474274,328812,308449,262510
coal-ut-92,UT,Utah,production,Coal,Coal production,Billion Btu,114689,119411,99459,100917,109250,115545,107282,96635,99899,107791,109551,107074,111148,134315,142066,165908,179080,198555,210600,280172,309778,319632,396545,271785,285333,301122,331530,383552,420403,459838,511406,507979,492997,506837,566914,586398,640410,616384,600793,620369,631270,640594,586926,536150,490146,554221,593321,556436,564147,502598,445692,453869,387129,385736,410997,325216,310453,317768,305328,326024,296168
