state_code,year,All Industry Total - Dollars,Consumption - Billion Btu,Fossil Fuel Consumption - Billion Btu,Fossil Fuel Production - Billion Btu,GDP per Capita - Dollars,Nuclear Consumption - Billion Btu,Population - Individual Person,Production - Billion Btu,Renewable Consumption - Billion Btu,Renewable Production - Billion Btu,Total Expenditure - Dollars
UT,1980,15311000000,504574,493569,454650,10480,0,1461037,571908,13025,26050,2201000000
VA,1980,58669000000,1530854,1130684,1063407,10973,125071,5346818,1281987,85571,171142,8387000000
VT,1980,4856000000,125793,66119,0,9494,32497,511456,55378,22881,45762,739000000
WA,1980,52682000000,1636821,821174,83268,12749,22269,4132156,1057170,951633,1903266,5473000000
WI,1980,52899000000,1463981,1156903,0,11241,108111,4705767,295424,187312,374624,6739000000
WV,1980,18409000000,788175,1223031,3125563,9442,0,1949644,3325747,23421,46842,3219000000
WY,1980,10428000000,362253,514628,2422794,22208,0,469557,2898616,14250,28500,1402000000
AK,1990,25040000000,584082,565722,3781006,45524,0,550043,4232243,18357,36715,2079000000
AL,1990,71610000000,1659374,1417537,815282,17723,127533,4040587,1341945,253287,503333,8193000000
AR,1990,38680000000,849198,713092,61563,16454,119387,2350725,468832,110505,219994,4678000000
AZ,1990,70632000000,950195,821435,249720,19271,217965,3665228,564631,94753,189506,6527000000
CA,1990,7.7346E+11,7439360,5691323,1861766,25990,345955,29760021,3278511,672975,1338154,48508000000
CO,1990,75571000000,944300,896141,581157,22939,0,3294394,875376,27106,52637,5277000000
CT,1990,1.00169E+11,775896,586831,0,30473,209272,3287116,243985,34712,69425,6246000000
DE,1990,19928000000,251796,234607,0,29914,0,666168,1653,1653,3306,1413000000
FL,1990,2.56589E+11,3289151,2542784,32915,19832,230471,12937926,473948,199621,397972,20976000000
GA,1990,1.40646E+11,2216211,1848804,0,21711,262401,6478216,497899,236225,470998,12979000000
HI,1990,32534000000,321420,293483,0,29357,0,1108229,27937,27937,55874,2118000000
IA,1990,56122000000,949263,811697,7717,20211,31868,2776755,128088,74025,145496,5241000000
ID,1990,18004000000,409001,176989,0,17883,0,1006749,119510,119701,238330,1850000000
IL,1990,2.79019E+11,3612494,2801030,1465995,24410,760711,11430602,2344501,102981,188404,21555000000
IN,1990,1.1086E+11,2488999,2633740,814705,19996,0,5544159,875212,60812,112090,12192000000
KS,1990,51874000000,1074411,1023486,338892,20937,83328,2477574,1060694,13869,26859,5314000000
KY,1990,68412000000,1489868,1496762,4445734,18564,0,3685296,4578095,53391,100952,7390000000
LA,1990,95177000000,3704139,3475292,899820,22554,150230,4219973,3137054,125516,250398,14419000000
MA,1990,1.59505E+11,1418231,1193726,0,26512,53647,6016425,118910,65263,130526,10772000000
MD,1990,1.12835E+11,1277680,972858,88005,23598,13242,4781468,151816,50546,101092,8045000000
ME,1990,23256000000,430659,262432,0,18939,51436,1227928,203066,151630,303260,2651000000
MI,1990,1.93103E+11,2866603,2539160,114121,20774,228682,9295297,632372,102166,195971,16734000000
MN,1990,1.02757E+11,1409665,1120143,0,23487,128458,4375099,188338,60972,118129,7625000000
MO,1990,1.03566E+11,1506669,1367469,56804,20239,84635,5117073,182406,43149,81918,9360000000
MS,1990,38757000000,1019810,739913,156797,15062,78541,2573216,418688,84868,169737,4955000000
MT,1990,13242000000,350591,355665,793240,16572,0,799065,970497,123371,246744,1696000000
NC,1990,1.39658E+11,2064098,1450518,0,21069,274130,6628637,442851,168721,337442,12593000000
ND,1990,11509000000,312939,514616,600610,18017,0,638800,689546,21154,41989,1410000000
NE,1990,33734000000,533802,453901,34156,21372,79485,1578385,132716,19705,34701,3164000000
NH,1990,23768000000,267260,204841,0,21427,43182,1109252,90006,46824,93648,2018000000
NJ,1990,2.14357E+11,2262861,1656516,0,27730,251538,7730188,277680,26142,52284,15668000000
NM,1990,26600000000,597445,737889,844264,17557,0,1515069,1973469,8718,15051,2955000000
NV,1990,30980000000,410370,400972,23264,25777,0,1201833,52932,30071,59336,2403000000
NY,1990,4.93192E+11,3768938,3030340,2407,27414,249982,17990455,669114,390951,781902,27816000000
OH,1990,2.27413E+11,3822978,3288861,884329,20965,112845,10847115,1232801,79958,143080,21113000000
OK,1990,57805000000,1393309,1337588,693349,18377,0,3145585,3224919,49914,99828,6240000000
OR,1990,56566000000,993039,473562,0,19901,64273,2842321,554563,487410,974820,4991000000
PA,1990,2.45281E+11,3647112,3461263,1846758,20644,611503,11881643,2734808,91855,183710,22337000000
RI,1990,21664000000,214939,145043,0,21589,0,1003464,4499,4499,8998,1649000000
SC,1990,65157000000,1269960,810937,0,18687,453763,3486703,559868,106617,212210,6880000000
SD,1990,12770000000,220217,168720,9558,18348,0,696004,54866,44283,87712,1389000000
TN,1990,94087000000,1804944,1381255,159265,19291,148175,4877185,475365,165010,326550,9654000000
TX,1990,3.78943E+11,10091766,9968710,4641892,22308,167823,16986510,10578173,117290,230535,45461000000
US,1990,5.65175E+12,84455309,72296379,38332322,22724,6104350,248709873,71101405,6041913,11972961,4.74652E+11
UT,1990,31249000000,538104,686982,671509,18138,0,1722850,871023,10778,21548,2749000000
VA,1990,1.44971E+11,1969215,1299569,1276307,23430,252065,6187358,1648621,105874,209170,11367000000
VT,1990,11674000000,127389,78898,0,20744,38267,562758,57751,19484,38968,1082000000
WA,1990,1.1864E+11,2078810,1016175,81056,24378,60762,4866692,1146162,1004696,2008042,8596000000
WI,1990,1.00236E+11,1485607,1184253,0,20491,118793,4891769,221357,103244,205129,8168000000
WV,1990,27754000000,701782,1210146,4462465,15475,0,1793477,4686846,18512,37024,3529000000
WY,1990,12706000000,399316,683917,3796847,28012,0,453588,4663386,9529,18902,1524000000
AK,2000,26807000000,742061,729682,2085754,42759,0,626932,2647192,12375,24408,2842000000
AL,2000,1.19852E+11,2093922,1832388,533350,26951,327143,4447100,1538212,263303,526605,12039000000
AR,2000,68679000000,1141593,881279,41762,25690,121516,2673400,447383,108634,217268,7188000000
AZ,2000,1.65111E+11,1332442,1143640,287114,32181,316839,5130632,705103,102228,201552,10625000000
CA,2000,1.35698E+12,7893262,6097915,1572566,40062,366845,33871648,3067393,741757,1472595,68282000000
CO,2000,1.80063E+11,1268642,1192573,755213,41863,0,4301261,1584090,31999,54012,8661000000
CT,2000,1.65614E+11,844550,628678,0,48630,170674,3405565,221252,50913,101156,7993000000
DE,2000,43451000000,305696,231146,0,55450,0,783600,2291,2291,4581,1932000000
FL,2000,4.9043E+11,4076022,3242725,26831,30686,336766,15982378,567461,195106,389905,30216000000
GA,2000,3.05572E+11,2920928,2254212,0,37327,338660,8186453,560846,222186,444372,19652000000
HI,2000,41097000000,273307,252920,0,33921,0,1211537,20387,20387,40774,2705000000
IA,2000,93112000000,1196131,1044189,0,31819,46439,2926324,155811,80729,155512,8186000000
ID,2000,38083000000,544380,255589,0,29432,0,1293953,141448,141037,282181,3137000000
IL,2000,4.87015E+11,4029159,3316432,846187,39214,932749,12419293,1888998,97688,156830,28883000000
IN,2000,2.03801E+11,2867279,3021189,633337,33517,0,6080485,678282,48674,79046,16661000000
KS,2000,86099000000,1116109,1067028,204201,32026,94495,2688418,906013,9920,19986,7257000000
KY,2000,1.14169E+11,1802618,1826333,3290291,28247,0,4041769,3413474,36286,72104,10310000000
LA,2000,1.32641E+11,4330579,4045310,661873,29680,164734,4468976,2750023,142352,284657,23148000000
MA,2000,2.88791E+11,1535714,1211888,0,45485,57487,6349097,126951,69463,138927,14409000000
MD,2000,1.92021E+11,1459886,1078191,110587,36254,144204,5296486,308712,54124,107771,11258000000
ME,2000,36890000000,463343,317371,0,28935,0,1274923,163025,163025,326050,3735000000
MI,2000,3.52152E+11,3225008,2763318,45861,35433,196925,9938444,665202,118368,221012,22220000000
MN,2000,1.91515E+11,1749107,1398634,0,38930,135160,4919479,238587,104646,175238,12224000000
MO,2000,1.8665E+11,1831457,1651320,10020,33359,104205,5595211,135904,23293,41963,13229000000
MS,2000,65673000000,1245835,915384,125256,23086,111534,2844658,421004,75389,150779,7596000000
MT,2000,21877000000,410631,411797,786377,24249,0,902195,972180,113793,227505,2567000000
NC,2000,2.78009E+11,2612315,1933328,0,34538,408054,8049313,544289,139510,272468,19065000000
ND,2000,18100000000,381565,597317,598133,28184,0,642200,690734,26151,51695,1972000000
NE,2000,56528000000,667989,555802,17151,33033,89988,1711263,175821,43687,88763,4382000000
NH,2000,45342000000,309761,239199,0,36691,82617,1235786,121237,38620,77240,3136000000
NJ,2000,3.61005E+11,2483356,1922979,0,42903,298041,8414350,338371,41098,80658,20409000000
NM,2000,55105000000,662696,795900,903105,30293,0,1819046,2718824,10611,17008,4025000000
NV,2000,76833000000,625648,626669,3602,38450,0,1998257,48347,47129,89477,4733000000
NY,2000,8.41181E+11,4138667,3214353,1218,44328,328597,18976457,777276,430515,858416,39217000000
OH,2000,3.92277E+11,4273427,3606927,566371,34552,175013,11353140,930383,98927,158663,29344000000
OK,2000,91094000000,1486799,1439456,446549,26399,0,3450654,2273699,47389,94778,9291000000
OR,2000,1.17155E+11,1135473,648427,0,34242,0,3421399,437913,437829,873333,7581000000
PA,2000,4.0916E+11,3942074,3642943,1955187,33316,769361,12281054,2994281,114696,227178,28949000000
RI,2000,34467000000,205766,189007,0,32878,0,1048319,4520,4520,9040,2171000000
SC,2000,1.15321E+11,1614128,1069481,0,28744,530708,4012012,623170,92462,184924,10142000000
SD,2000,22743000000,263270,204701,6786,30129,0,754844,71314,63439,123379,1957000000
TN,2000,1.82247E+11,2197309,1682731,70034,32033,269327,5689283,464215,120501,241824,13759000000
TX,2000,7.38677E+11,12141592,11865411,3204063,35425,391670,20851820,9681342,101491,192144,74551000000
US,2000,1.0251E+13,98694756,84547512,34953292,36426,7862349,281421906,71237674,6104332,11970383,6.87711E+11
UT,2000,70296000000,744480,844215,721959,31478,0,2233169,1038644,16401,30810,4509000000
VA,2000,2.68471E+11,2405827,1654084,870096,37928,295361,7078515,1353571,117048,227944,16203000000
VT,2000,18341000000,148507,98638,0,30125,47432,608827,68821,21389,42777,1613000000
WA,2000,2.37378E+11,2248092,1238823,66520,40274,89744,5894121,1065124,911481,1817454,12958000000
WI,2000,1.80427E+11,1878161,1496915,0,33639,120059,5363675,233384,115703,226075,12643000000
WV,2000,42496000000,736985,1342231,4023641,23500,0,1808344,4338635,17406,34758,4324000000
WY,2000,17153000000,427791,757850,6244492,34738,0,493782,7491338,15011,30081,2174000000
AK,2010,53332000000,639266,622114,1303199,75091,0,710231,1739474,17148,33930,6320000000
AL,2010,1.77249E+11,1942188,1784523,534593,37083,396557,4779736,1429510,266140,484486,21629000000
AR,2010,1.01487E+11,1129224,911280,33969,34804,157017,2915918,1255308,138625,251466,12309000000
AZ,2010,2.51153E+11,1434861,1344322,168145,39292,326102,6392017,579288,100948,162937,20320000000
CA,2010,1.95409E+12,7651772,5631431,1162146,52453,336562,37253956,2534508,837590,1421622,1.16276E+11
CO,2010,2.583E+11,1517105,1371949,743619,51360,0,5029196,2557690,82452,147903,17069000000
CT,2010,2.347E+11,769858,564646,0,65667,175074,3574097,205449,43562,60695,14329000000
DE,2010,58164000000,266384,187284,0,64775,0,897934,3842,7759,7685,3842000000
FL,2010,7.46929E+11,4319171,3534659,10307,39727,250178,18801310,503399,289764,460538,60735000000
GA,2010,4.18091E+11,3147631,2362378,0,43157,350268,9687653,570805,247303,427156,38096000000
HI,2010,66873000000,297556,279314,0,49160,0,1360301,15285,18242,30571,6200000000
IA,2010,1.42234E+11,1498067,1189985,0,46690,46518,3046355,665133,335054,746841,14727000000
ID,2010,55588000000,523118,254995,0,35461,0,1567582,133887,132246,259410,5778000000
IL,2010,6.66405E+11,3981181,3231953,820008,51939,1005374,12830632,2125871,216390,386666,45199000000
IN,2010,2.82562E+11,2852101,2746897,801532,43580,0,6483802,1014017,148291,277136,27360000000
KS,2010,1.28591E+11,1109761,988406,237795,45070,99876,2853118,811892,75258,144676,11615000000
KY,2010,1.66409E+11,2002994,1893168,2570703,38349,0,4339367,2787102,84516,135285,20415000000
LA,2010,2.25309E+11,4124890,3704458,446368,49700,194818,4533372,3173816,134463,226417,40659000000
MA,2010,4.11136E+11,1431293,1119258,0,62792,61853,6547629,112529,75324,101345,24780000000
MD,2010,3.14728E+11,1486516,982313,58798,54512,146265,5773552,253801,71905,97331,21737000000
ME,2010,52256000000,418057,273227,0,39339,0,1328361,159002,163928,317994,6290000000
